fecha;cod_prov;provincia;casos_nuevos;casos_acum;incidencia;positividad;recuperados;defun_nuevos;defun_acum;procesadas
25/3/2020;6;Duarte;14;43;;;;0;4;
25/3/2020;8;El Seibo;0;0;;;;0;0;
25/3/2020;7;Elías Piña;0;0;;;;0;0;
25/3/2020;9;Espaillat;5;10;;;;0;0;
25/3/2020;30;Hato Mayor;0;2;;;;0;0;
25/3/2020;19;Hermanas Mirabal;0;3;;;;0;0;
25/3/2020;10;Independencia;0;1;;;;0;0;
25/3/2020;11;La Altagracia;-1;11;;;;0;0;
25/3/2020;12;La Romana;1;6;;;;0;0;
25/3/2020;13;La Vega;3;11;;;;0;0;
25/3/2020;14;María Trinidad Sánchez;1;4;;;;0;0;
25/3/2020;28;Monseñor Nouel;0;3;;;;0;0;
25/3/2020;15;Monte Cristi;0;0;;;;0;0;
25/3/2020;29;Monte Plata;0;0;;;;0;0;
25/3/2020;16;Pedernales;0;0;;;;0;0;
25/3/2020;17;Peravia;0;0;;;;0;0;
25/3/2020;18;Puerto Plata;2;7;;;;0;0;
25/3/2020;20;Samaná;0;7;;;;0;1;
25/3/2020;21;San Cristóbal;1;5;;;;0;0;
25/3/2020;31;San José de Ocoa;0;0;;;;0;0;
25/3/2020;22;San Juan;0;2;;;;0;1;
25/3/2020;23;San Pedro de Macorís;2;12;;;;0;1;
25/3/2020;24;Sánchez Ramírez;0;6;;;;0;0;
25/3/2020;25;Santiago;4;57;;;;0;2;
25/3/2020;26;Santiago Rodríguez;0;0;;;;0;0;
25/3/2020;32;Santo Domingo;3;55;;;;0;0;
25/3/2020;27;Valverde;1;2;;;;0;0;
26/3/2020;2;Azua;0;4;;;;0;0;
26/3/2020;3;Baoruco;0;0;;;;0;0;
26/3/2020;4;Barahona;2;4;;;;0;0;
26/3/2020;5;Dajabón;0;0;;;;0;0;
26/3/2020;1;Distrito Nacional;38;273;;;;1;2;
26/3/2020;6;Duarte;16;59;;;;8;12;
26/3/2020;8;El Seibo;0;0;;;;0;0;
26/3/2020;7;Elías Piña;0;0;;;;0;0;
26/3/2020;9;Espaillat;0;10;;;;0;0;
26/3/2020;30;Hato Mayor;0;2;;;;0;0;
26/3/2020;19;Hermanas Mirabal;1;4;;;;0;0;
26/3/2020;10;Independencia;0;1;;;;0;0;
26/3/2020;11;La Altagracia;0;11;;;;0;0;
26/3/2020;12;La Romana;2;8;;;;0;0;
26/3/2020;13;La Vega;5;16;;;;0;0;
26/3/2020;14;María Trinidad Sánchez;0;4;;;;0;0;
26/3/2020;28;Monseñor Nouel;1;4;;;;1;1;
26/3/2020;15;Monte Cristi;0;0;;;;0;0;
26/3/2020;29;Monte Plata;0;0;;;;0;0;
26/3/2020;16;Pedernales;0;0;;;;0;0;
26/3/2020;17;Peravia;1;1;;;;0;0;
26/3/2020;18;Puerto Plata;4;11;;;;0;0;
26/3/2020;20;Samaná;1;8;;;;0;1;
26/3/2020;21;San Cristóbal;1;6;;;;0;0;
26/3/2020;31;San José de Ocoa;0;0;;;;0;0;
26/3/2020;22;San Juan;0;2;;;;0;1;
26/3/2020;23;San Pedro de Macorís;1;13;;;;0;1;
26/3/2020;24;Sánchez Ramírez;0;6;;;;0;0;
26/3/2020;25;Santiago;9;66;;;;0;2;
26/3/2020;26;Santiago Rodríguez;0;0;;;;0;0;
26/3/2020;32;Santo Domingo;11;66;;;;0;0;
26/3/2020;27;Valverde;0;2;;;;0;0;
27/3/2020;2;Azua;1;5;;;;0;0;
